id	ENGLISH	TRANSLATION IN YOUR LANGUAGE	NOTES BY TRANSLATOR (IF NECESSARY)
CLDR Ticket-2	If you discover a problem with how Unicode CLDR represents your language—such as incorrect names, formats, translations, or missing data—you can report it by filing a “ticket.”	If you discover a problem with how Unicode CLDR represents your language—such as incorrect names, formats, translations, or missing data—you can report it by filing a “ticket.”	
CLDR Ticket-3	What does “ticket” mean?	What does “ticket” mean?	
CLDR Ticket-4	A ticket is simply a formal request or report.	A ticket is simply a formal request or report.	
CLDR Ticket-5	"It is a way to:

- report a problem or error

- ask a question

- request a correction or improvement"	"It is a way to:

- report a problem or error

- ask a question

- request a correction or improvement"	
CLDR Ticket-6	Think of a ticket as submitting a written issue that the Unicode CLDR team can track, discuss, and respond to.	Think of a ticket as submitting a written issue that the Unicode CLDR team can track, discuss, and respond to.	
CLDR Ticket-7	"Where to File a Ticket

All CLDR tickets are filed on Unicode’s issue-tracking website (called Jira):

https://unicode-org.atlassian.net/projects/CLDR/"	"Where to File a Ticket

All CLDR tickets are filed on Unicode’s issue-tracking website (called Jira):

https://unicode-org.atlassian.net/projects/CLDR/"	
CLDR Ticket-8	"How to File a Ticket (Step by Step)

Log in to Jira

You must have a Jira account to file a ticket.

If you do not already have one, you can request a Jira account from the site.

Click “Create”

Once logged in, click the red “Create” button at the top of the page.

This opens a form for submitting your ticket.

Describe the problem or request

Clearly explain what is wrong or what needs to be changed in CLDR.

Include examples if possible (for example, how something should appear in your language).

Choose a component"	"How to File a Ticket (Step by Step)

Log in to Jira

You must have a Jira account to file a ticket.

If you do not already have one, you can request a Jira account from the site.

Click “Create”

Once logged in, click the red “Create” button at the top of the page.

This opens a form for submitting your ticket.

Describe the problem or request

Clearly explain what is wrong or what needs to be changed in CLDR.

Include examples if possible (for example, how something should appear in your language).

Choose a component"	I have kept the button names ('Create') in English, as when I checked the provided link, I found the Jira Website is in English.
CLDR Ticket-9	"You will be asked to assign a component (the part of CLDR your issue relates to).

If you are unsure which one to choose, simply select “unknown.” This is acceptable.

Submit the ticket

After filling out the form, submit it."	"You will be asked to assign a component (the part of CLDR your issue relates to).

If you are unsure which one to choose, simply select “unknown.” This is acceptable.

Submit the ticket

After filling out the form, submit it."	
CLDR Ticket-10	Your ticket will now be visible to the CLDR team and other contributors.	Your ticket will now be visible to the CLDR team and other contributors.	
CLDR Ticket-11	Once submitted, your ticket becomes part of the official CLDR review process, where it can be discussed, clarified, and—if appropriate—used to improve how your language is handled in Unicode CLDR.	Once submitted, your ticket becomes part of the official CLDR review process, where it can be discussed, clarified, and—if appropriate—used to improve how your language is handled in Unicode CLDR.	
