"In English there are 4 ways to write the days of the week: full form, medium abbreviation, short abbreviation, and shortest abbreviation. Does your language have the same 4 forms? If yes, please enter them in Column B. If your language has LESS than 4 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 4 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.) 
En anglais, il existe quatre façons d’écrire les jours de la semaine : forme complète, abréviation moyenne, abréviation courte et abréviation la plus courte. Toutes ces quatre formes existent-elles dans votre langue ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de quatre formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes, puis le cas échéant, indiquer comment on les écrit dans votre langue. (Consultez les EXEMPLES VISUELS pour mieux comprendre les types d'abréviations.)                                               "					
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sunday	Dimanche	Dibéer	Dibéer, the term exists in Wolof and is commonly used.	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sun"]	wk-1_XXX
Monday	Lundi	Altine		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="mon"]	wk-2_XXX
Tuesday	Mardi	Talaata	Altine is OK	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="tue"]	wk-3_XXX
Wednesday	Mercredi	Àllarba	Allarba /NO/ the correct spelling is Àllarba	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="wed"]	wk-4_XXX
Thursday	Jeudi	Alxames	. Alxamis/NO/ the correct spelling is Alxemes	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="thu"]	wk-5_XXX
Friday	Vendredi	Àjjuma	. Ajjuma/NO/ the correct spelling is Àjjuma	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="fri"]	wk-6_XXX
Saturday	Samedi	Gaawu	Samedi/ NO/ proposition : Gaawu, the term exists in Wolof and is commonly used.	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sat"]	wk-7_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sun	Dim	Dib	Dib (justification : on a calendar, Wolof people will understand easily « Dib » as Dibéer.)	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sun"]	wk-8_XXX
Mon	Lun	Alt	on a calendar, Wolof people will understand easily « Alt » as Altine	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="mon"]	wk-9_XXX
Tue	Mar	Tal	on a calendar, Wolof people will understand easily « Tal » as Talaata	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="tue"]	wk-10_XXX
Wed	Mer	Àll	on a calendar, Wolof people will understand easily « Àll » as Àllarba	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="wed"]	wk-11_XXX
