id	ENGLISH	TRANSLATION IN YOUR LANGUAGE	NOTES BY TRANSLATOR (IF NECESSARY)
Practitioners Program Call-4	SILICON invites applications from a wide range of practitioners, including keyboard and app designers, linguistics, type designers, language ethnographers, OCR and machine learning specialists, large language model researchers, and others working at the intersection of language, design, and technology. Projects may focus on one or more living or historic Digitally Disadvantaged Languages and should demonstrate clear goals, measurable progress, and real-world applicability.	SILICON सभे तरह के प्रैक्टिशनर से आवेदन के न्योता देता। एहमें कीबोर्ड आ ऐप डिजाइन करे वाला, भाषा-बिज्ञान के जानकार, टाइप डिजाइनर, भाषा शोधकर्ता, OCR आ मशीन लर्निंग के विशेषज्ञ, बड़ भाषा मॉडल प काम करे वाला लोग, आ ओह लोगन के भी न्योता शामिल बा जे भाषा, डिजाइन आ टेक्नोलॉजी के मेल पर काम करेला। ई प्रोजेक्ट एक भा एक से ज्यादा, जीवित भा डिजिटल रूप से पिछड़ल पुरान भाषा पर हो सकेला। प्रोजेक्ट के साफ-साफ उद्देश्य, मापल जा सके वाला परिणाम आ असली जीवन में इस्तेमाल के योग्यता देखावल जरूरी बा।	
Practitioners Program Call-1	Visit this website to learn more and to apply.	अधिका जानकारी खातिर आ आवेदन करे खातिर एह वेबसाइट पर जाईं।	
KBI-1	Did you know that English has over 1,000,000 fonts? (It's not just Helvetica!) Do you want to design a font for your language? The Donald Knuth & Charles Bigelow Type Design Incubator (KBI), run by SILICON at Stanford University, supports designers working with underrepresented and endangered writing systems.	का रउवा जानेनी कि अंग्रेजी में 1,000,000 से ज्यादा फॉन्ट बा? (खाली Helvetica ना!) का रउवा आपन भाषा खातिर फॉन्ट डिजाइन कईल चाहतानी? स्टैनफोर्ड विश्वविद्यालय में SILICON द्वारा चलावल जाए वाला The Donald Knuth & Charles Bigelow Type Design Incubator (KBI, डोनाल्ड नथ और चार्ल्स बिगेलो टाइप डिजाइन इनक्यूबेटर), ओह डिजाइनर लोगन के मदद करेला जे कम इस्तेमाल होखे वाला आ लुप्त हो रहल लिपी प काम क रहल बा लोग।	
KBI-2	"KBI is an entirely free program, where participants study with world-leading experts to start developing a font for their language. Participants receive expert instruction, structured workshops, and access to professional design software. The program is created for designers who may not have access to formal type design education or established industry networks. 
Applicants must be 18 years of age, or older, and all countries are welcome to apply. "	KBI एकदम मुफ्त प्रोग्राम ह आ एहमें भाग लेवे वाला लोग दुनिया के जानल-मानल विशेषज्ञन के संगे मिल के आपन भाषा खातिर फॉन्ट बनावे सीखेला। प्रतिभागिन के विशेषज्ञ मार्गदर्शन, व्यवस्थित वर्कशॉप आ प्रोफेशनल डिजाइन सॉफ्टवेयर के एक्सेस मिलेला। ई प्रोग्राम खास करके ओह डिजाइनर खातिर बनावल गइल बा जेकरा लग्गे कवनो औपचारिक टाइप डिजाइन शिक्षा भा स्थापित इंडस्ट्री नेटवर्क के एक्सेस नईखे। आवेदन करे वाला के उमिर 18 साल भा ओकरा से ऊपर होखे के चाहीं, आ सभे देश के लोग आवेदन क सकेला।	
KBI-3	Visit this website to learn more and to apply.	अधिका जानकारी खातिर आ आवेदन करे खातिर एह वेबसाइट पर जाईं।	
LexRay-1	LexRay is a tool designed by SILICON (Stanford University) to make it easier to contribute language data to the Common Locale Data Repository (CLDR), the open database maintained by the Not-For-Profit global organization, Unicode.	LexRay, SILICON (स्टैनफोर्ड विश्वविद्यालय) द्वारा बनावल गइल एगो टूल ह, जे Common Locale Data Repository (CLDR, कॉमन लोकेल डेटा रिपॉज़िटरी) में भाषा संबंधी डेटा जोड़ल आसान बनावे ला। CLDR एगो ओपन डेटाबेस ह, जवन की गैर-लाभकारी वैश्विक संस्था, Unicode द्वारा मैनेज कइल जाला।	
LexRay-2	When a phone in the United States shows a date like “November 12,” this is all thanks to CLDR data, which is the only way that computers and phones know how that date should appear in different languages and regions. In Spanish, for example, the same date becomes “12 de noviembre.” Different word order, different structure, same meaning. CLDR encodes these patterns so operating systems, apps, and websites can localize content correctly worldwide.	जब अमेरिका में फोन प तारीख “November 12” जइसन देखाई देला, त ई फॉर्मेट CLDR डेटा के बदौलत होला। CLDR डेटा ही कंप्यूटर आ फोन के बतावेला कि अलग-अलग भाषा आ इलाका में तारीख के कइसे देखावे के चाहीं। उदाहरण खातिर, स्पेनिश में ईहे तारीख “12 de noviembre” बन जाला। शब्दन के क्रम अलग बा, बनावट अलग बा, बाकिर मतलब उहे बा। CLDR एह तरीका के पैटर्न एनकोड करेला, ताकि ऑपरेटिंग सिस्टम, ऐप आ वेबसाइट कंटेट के भाषा आ इलाका के हिसाब से सही तरीका से लोकलाइज क सके।	
LexRay-3	Out of roughly 7,000 human languages, the vast majority are not included in the CLDR database. Adding a language to the CLDR is therefore not just a technical step—it is a foundational act of empowering language communities to participate in the digital age.	लगभग 7,000 भाषा में से अधिकतर भाषा सभ CLDR डेटाबेस में सामिल नइखे। एहसे CLDR में भाषा जोड़ल खाली एगो तकनीकि कदम ना ह, बल्कि ई भाषाई समुदाय के डिजिटल जमाना में भाग लेवे लायक बनावे के एगो बुनियादी कदम ह।	
LexRay-4	But working with the CLDR can be difficult, however. Beyond speaking your mother tongue, you must also understand CLDR “patterns” (such as "d 'de' MMMM" which is the pattern for "12 de noviembre" mentioned above). This technical requirement is often a major barrier.	लेकिन CLDR के साथ काम कइल आसान नइखे। आपन मातृभाषा बोले के अलावा, CLDR के “पैटर्न” भी समझे के पड़ेला (जइसे “d 'de' MMMM”, जवन कि ऊपर बतावल “12 de noviembre” खातिर इस्तेमाल होखे वाला पैटर्न ह)। ई तकनीकी जरूरत अक्सर बहुत बड़ रुकावट बन जाला।	
LexRay-5	LexRay removes this obstacle. Instead of having to learn CLDR patterns, LexRay lets you work entirely in your language. You simply write in regular dates—such as “12 de noviembre”—and LexRay generates the correct CLDR pattern automatically.	LexRay ई रुकावट के दूर क देला। CLDR के पैटर्न सिखला के बजाय, LexRay रउवा के पूरी तरह से आपन भाषा में काम करे के सुविधा देला। रउवा बस साधारण तारीख लिखीं, जइसे “12 de noviembre”, आ LexRay अपने आप सही CLDR पैटर्न बना दी।	
