Subject	Group	Field	Instance	Length	Variant	Example#	XPath	ExtID	English	English (pattern)	French	Level	Var1	Var2
dates	Dates	availableFormats	Ehms			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Ehms"]	dc-32_XXX	Tue 3:30:45 PM	E h:mm:ss a	Tue 3:30:45 PM	Moderate	1,713,911,445,000	
dates	Dates	availableFormats	EHms			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="EHms"]	dc-34_XXX	Tue 15:30:45	E HH:mm:ss	Tue 15:30:45	Moderate	1,713,911,445,000	
dates	Dates	availableFormats	M			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="M"]	dc-58_XXX	April	L	April	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	M			2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="M"]	dc-59_XXX	April	L	April	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	Md			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Md"]	dc-62_XXX	4/23	M/d		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	MEd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MEd"]	dc-41_XXX	Tue, 4/23	E, M/d		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	MMMd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMd"]	dc-90_XXX	Apr 23	MMM d		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	MMMEd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMEd"]	dc-93_XXX	Tue, Apr 23	E, MMM d		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	MMMMd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]	dc-96_XXX	April 23	MMMM d		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	MMMMW			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMW"][@count="other"]	dc-97_XXX	week 4 of April	week' W 'of' MMMM		Moderate		
dates	Dates	availableFormats	y			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="y"]	dc-10_XXX	2024	y	2024	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	yM			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yM"]	dc-6_XXX	4/2024	M/y	04/2024	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	yMd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMd"]	dc-9_XXX	4/23/2024	M/d/y		Basic	1,713,855,600,000	
dates	Dates	availableFormats	yMd			2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMd"]	dc-68_XXX	4/23/2024	M/d/y		Basic	1,713,855,600,000	
dates	Dates	availableFormats	yMM			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMM"]	dc-5_XXX	04/2024		04/2024		1,713,855,600,000	
dates	Dates	availableFormats	yMMM			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMM"]	dc-4_XXX	Apr 2024	MMM y	Apr 2024	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	yMMMd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMMd"]	dc-8_XXX	Apr 23, 2024	MMM d, y		Basic	1,713,855,600,000	
dates	Dates	availableFormats	yMMMEd			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMMEd"]	dc-7_XXX	Tue, Apr 23, 2024	E, MMM d, y		Moderate	1,713,855,600,000	
dates	Dates	availableFormats	yMMMM			1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yMMMM"]	dc-3_XXX	April 2024	MMMM y	April 2024	Moderate	1,713,855,600,000	
dates	Dates	availableFormats	yw		other	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yw"][@count="other"]	dc-1_XXX	week 17 of 2024	week' w 'of' Y		Moderate		
dates	Dates	availableFormats	yw		one	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yw"][@count="one"]	dc-2_XXX	week 1 of 2024	week' w 'of' Y		Moderate		
dates	DateTimes	dateFormats		full		1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="full"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-53_XXX	Tuesday, April 23, 2024	EEEE, MMMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		full		2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="full"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-54_XXX	Tuesday, April 23, 2024	EEEE, MMMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		medium		1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="medium"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-76_XXX	Apr 23, 2024	MMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		medium		2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="medium"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-79_XXX	Apr 23, 2024	MMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		long		1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="long"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-84_XXX	April 23, 2024	MMMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		long		2	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="long"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-85_XXX	April 23, 2024	MMMM d, y		Moderate	1,713,855,600,000	
dates	DateTimes	dateFormats		short		1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateFormats/dateFormatLength[@type="short"]/dateFormat[@type="standard"]/pattern[@type="standard"]	dc-98_XXX	4/23/24	M/d/yy		Moderate	1,713,855,600,000	
dates	DateTimes	dateTimeFormats		full	atTime	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/dateTimeFormatLength[@type="full"]/dateTimeFormat[@type="atTime"]/pattern[@type="standard"]	dc-35_XXX	Tuesday at 3:30:45 PM	{1} 'at' {0}		Moderate	1,713,911,445,000	
dates	DateTimes	dateTimeFormats		long	atTime	1	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/dateTimeFormatLength[@type="long"]/dateTimeFormat[@type="atTime"]/pattern[@type="standard"]	dc-36_XXX	Tuesday at 3:30:45 PM	{1} 'at' {0}		Moderate	1,713,911,445,000	
